Distance_(microns),Gray_Value
0.0000,550.000
0.0402,560.737
0.0804,573.981
0.1206,579.991
0.1608,552.618
0.2010,553.446
0.2412,579.360
0.2814,560.196
0.3216,562.900
0.3618,570.715
0.4020,572.742
0.4422,573.741
0.4824,568.815
0.5226,570.699
0.5628,582.348
0.6030,590.430
0.6432,593.475
0.6834,589.579
0.7236,576.960
0.7639,595.057
0.8041,574.357
0.8443,556.663
0.8845,564.993
0.9247,558.750
0.9649,569.627
1.0051,583.036
1.0453,584.540
1.0855,575.981
1.1257,567.174
1.1659,592.643
1.2061,585.560
1.2463,585.533
1.2865,580.749
1.3267,572.930
1.3669,595.601
1.4071,581.148
1.4473,592.216
1.4875,597.836
1.5277,595.559
1.5679,589.243
1.6081,587.719
1.6483,602.362
1.6885,601.544
1.7287,593.268
1.7689,585.990
1.8091,587.575
1.8493,594.714
1.8895,586.298
1.9297,589.127
1.9699,607.662
2.0101,598.355
2.0503,601.945
2.0905,625.158
2.1307,610.319
2.1709,601.000
2.2112,607.365
2.2514,615.652
2.2916,619.411
2.3318,621.410
2.3720,611.438
2.4122,615.440
2.4524,609.867
2.4926,612.316
2.5328,615.000
2.5730,607.297
2.6132,641.071
2.6534,634.642
2.6936,626.396
2.7338,609.572
2.7740,617.320
2.8142,624.000
2.8544,655.960
2.8946,651.956
2.9348,651.626
2.9750,661.925
3.0152,653.933
3.0554,659.364
3.0956,691.605
3.1358,715.719
3.1760,721.000
3.2162,711.371
3.2564,737.916
3.2966,737.589
3.3368,715.234
3.3770,721.694
3.4172,725.948
3.4574,688.794
3.4976,692.470
3.5378,695.866
3.5780,705.254
3.6182,740.921
3.6585,757.717
3.6987,782.068
3.7389,757.760
3.7791,730.846
3.8193,713.154
3.8595,699.571
3.8997,685.881
3.9399,670.219
3.9801,643.463
4.0203,651.150
4.0605,662.014
4.1007,662.329
4.1409,670.039
4.1811,680.691
4.2213,677.985
4.2615,656.308
4.3017,654.335
4.3419,661.330
4.3821,666.326
4.4223,681.289
4.4625,662.116
4.5027,691.426
4.5429,714.986
4.5831,759.649
4.6233,840.131
4.6635,936.640
4.7037,1071.171
4.7439,1198.040
4.7841,1185.718
4.8243,1092.675
4.8645,991.097
4.9047,877.384
4.9449,821.604
4.9851,791.778
5.0253,772.166
