Distance_(microns),Gray_Value
0.0000,160.000
0.0402,171.238
0.0804,191.466
0.1206,197.000
0.1608,197.000
0.2010,194.016
0.2412,180.329
0.2814,176.000
0.3216,176.000
0.3618,176.000
0.4020,178.969
0.4422,180.741
0.4824,180.259
0.5226,179.260
0.5628,192.304
0.6030,204.383
0.6432,207.000
0.6834,207.000
0.7236,201.848
0.7639,194.853
0.8041,193.000
0.8443,193.000
0.8845,196.664
0.9247,211.910
0.9649,217.000
1.0051,217.000
1.0453,217.000
1.0855,226.477
1.1257,230.728
1.1659,231.000
1.2061,231.000
1.2463,220.837
1.2865,211.924
1.3267,210.000
1.3669,210.000
1.4071,214.337
1.4473,221.776
1.4875,224.000
1.5277,224.000
1.5679,226.159
1.6081,234.189
1.6483,237.000
1.6885,237.000
1.7287,237.000
1.7689,247.021
1.8091,251.715
1.8493,252.000
1.8895,252.000
1.9297,266.254
1.9699,279.119
2.0101,282.000
2.0503,282.000
2.0905,282.000
2.1307,282.000
2.1709,282.000
2.2112,282.000
2.2514,280.587
2.2916,274.355
2.3318,272.000
2.3720,274.112
2.4122,276.407
2.4524,305.103
2.4926,322.614
2.5328,328.505
2.5730,332.801
2.6132,366.175
2.6534,392.576
2.6936,398.000
2.7338,398.000
2.7740,404.963
2.8142,417.738
2.8544,422.000
2.8946,422.000
2.9348,422.693
2.9750,425.077
3.0152,426.000
3.0554,426.000
3.0956,426.000
3.1358,456.331
3.1760,472.066
3.2162,473.000
3.2564,473.000
3.2966,475.745
3.3368,478.371
3.3770,479.000
3.4172,479.000
3.4574,483.099
3.4976,489.094
3.5378,491.000
3.5780,491.000
3.6182,493.040
3.6585,499.434
3.6987,502.000
3.7389,502.000
3.7791,502.000
3.8193,513.494
3.8595,519.675
3.8997,520.000
3.9399,520.000
3.9801,493.752
4.0203,470.916
4.0605,466.000
4.1007,466.000
4.1409,478.058
4.1811,496.713
4.2213,503.000
4.2615,498.327
4.3017,483.998
4.3419,458.685
4.3821,447.004
4.4223,444.007
4.4625,441.009
4.5027,461.213
4.5429,467.365
4.5831,459.048
4.6233,449.394
4.6635,473.052
4.7037,496.885
4.7439,502.000
4.7841,502.000
4.8243,503.313
4.8645,505.968
4.9047,507.000
4.9449,507.000
4.9851,515.497
5.0253,544.806
5.0655,558.000
5.1057,558.000
5.1460,558.000
5.1862,558.650
5.2264,559.000
5.2666,559.000
5.3068,559.000
5.3470,608.140
5.3872,652.437
5.4274,662.000
5.4676,662.000
5.5078,647.844
5.5480,626.503
5.5882,619.000
5.6284,619.000
5.6686,623.482
5.7088,636.873
5.7490,643.000
5.7892,643.000
5.8294,644.274
5.8696,671.095
5.9098,686.636
5.9500,687.000
5.9902,687.000
6.0304,767.437
6.0706,839.936
6.1108,855.000
6.1510,858.155
6.1912,987.940
