Distance_(microns),Gray_Value
0.0000,1488.407
0.0419,1464.365
0.0838,1422.982
0.1257,1382.455
0.1677,1336.628
0.2096,1292.676
0.2515,1262.964
0.2934,1240.009
0.3353,1220.314
0.3772,1201.941
0.4192,1179.292
0.4611,1150.213
0.5030,1118.264
0.5449,1088.173
0.5868,1073.875
0.6287,1078.439
0.6706,1085.922
0.7126,1092.964
0.7545,1087.481
0.7964,1064.953
0.8383,1039.282
0.8802,1011.268
0.9221,1004.132
0.9641,1018.962
1.0060,1033.202
1.0479,1045.497
1.0898,1048.873
1.1317,1041.422
1.1736,1030.066
1.2155,1017.031
1.2575,998.638
1.2994,976.262
1.3413,955.193
1.3832,937.407
1.4251,924.826
1.4670,917.692
1.5090,913.294
1.5509,909.248
1.5928,904.329
1.6347,896.084
1.6766,885.197
1.7185,874.534
1.7604,866.810
1.8024,858.164
1.8443,849.250
1.8862,841.272
1.9281,834.073
1.9700,845.661
2.0119,864.162
2.0538,880.296
2.0958,892.454
2.1377,906.696
2.1796,927.488
2.2215,951.732
2.2634,978.714
2.3053,1007.732
2.3473,1036.684
2.3892,1070.320
2.4311,1107.261
2.4730,1149.945
2.5149,1221.589
2.5568,1308.666
2.5987,1398.299
2.6407,1490.495
2.6826,1578.702
2.7245,1660.508
2.7664,1735.940
2.8083,1804.770
2.8502,1884.034
2.8922,1963.797
2.9341,2040.750
2.9760,2117.917
3.0179,2275.101
3.0598,2472.691
3.1017,2668.333
3.1436,2863.808
3.1856,3098.872
3.2275,3392.484
3.2694,3687.760
3.3113,3973.638
3.3532,4215.955
3.3951,4368.773
3.4371,4515.317
3.4790,4651.368
3.5209,4728.455
3.5628,4629.561
3.6047,4533.575
3.6466,4440.801
3.6885,4325.542
3.7305,4133.911
3.7724,3927.831
3.8143,3719.203
3.8562,3515.849
3.8981,3331.554
3.9400,3154.200
3.9820,2978.154
4.0239,2831.457
4.0658,2764.576
4.1077,2750.273
4.1496,2734.160
4.1915,2721.003
4.2334,2718.228
4.2754,2734.264
4.3173,2753.006
4.3592,2777.783
4.4011,2829.883
4.4430,2909.601
4.4849,2986.271
4.5269,3060.025
4.5688,3108.930
4.6107,3135.098
4.6526,3160.364
4.6945,3187.504
4.7364,3194.310
4.7783,3176.994
4.8203,3153.773
4.8622,3133.702
4.9041,3067.309
4.9460,2932.044
4.9879,2774.812
5.0298,2624.262
5.0718,2482.099
5.1137,2341.699
5.1556,2197.066
5.1975,2046.809
5.2394,1897.910
5.2813,1795.961
5.3232,1718.273
5.3652,1645.412
5.4071,1577.187
5.4490,1504.710
5.4909,1429.845
5.5328,1354.902
5.5747,1280.388
5.6167,1228.752
5.6586,1188.171
5.7005,1146.590
5.7424,1106.900
5.7843,1080.906
5.8262,1064.212
5.8681,1044.095
5.9101,1018.656
5.9520,990.049
5.9939,966.395
6.0358,946.771
6.0777,930.601
6.1196,917.234
6.1615,896.844
6.2035,871.174
6.2454,840.482
6.2873,805.936
6.3292,811.552
6.3711,821.519
6.4130,834.410
6.4550,851.468
6.4969,847.036
6.5388,836.488
6.5807,829.735
6.6226,826.993
6.6645,839.688
6.7064,861.560
6.7484,882.366
6.7903,901.568
6.8322,915.544
6.8741,922.416
6.9160,927.707
6.9579,930.997
6.9999,930.155
7.0418,924.350
7.0837,920.126
7.1256,919.267
7.1675,937.904
7.2094,1003.665
7.2513,1073.778
7.2933,1155.114
7.3352,1248.016
7.3771,1368.172
7.4190,1501.955
7.4609,1640.469
7.5028,1807.296
7.5448,2030.247
7.5867,2276.993
7.6286,2518.779
7.6705,2752.738
7.7124,2975.797
7.7543,3192.678
7.7962,3408.894
7.8382,3622.987
7.8801,3829.675
7.9220,4029.255
7.9639,4222.163
8.0058,4410.502
8.0477,4587.487
8.0897,4752.931
8.1316,4900.948
8.1735,5047.371
8.2154,5130.567
8.2573,5150.851
8.2992,5155.298
8.3411,5156.607
8.3831,5122.282
8.4250,5046.404
8.4669,4955.691
8.5088,4862.761
8.5507,4730.644
8.5926,4529.338
8.6346,4302.719
8.6765,4076.053
8.7184,3839.347
8.7603,3563.960
8.8022,3266.171
8.8441,2968.385
8.8860,2677.675
8.9280,2478.962
8.9699,2306.245
9.0118,2138.771
9.0537,1976.159
9.0956,1875.855
9.1375,1802.408
9.1795,1735.190
9.2214,1671.946
9.2633,1613.338
9.3052,1561.002
9.3471,1515.121
9.3890,1475.906
9.4309,1436.191
9.4729,1387.364
9.5148,1336.432
9.5567,1283.441
9.5986,1233.200
9.6405,1205.380
9.6824,1181.907
9.7243,1159.342
9.7663,1142.577
9.8082,1159.359
9.8501,1174.380
9.8920,1187.584
9.9339,1199.815
9.9758,1221.736
10.0178,1248.485
10.0597,1278.696
10.1016,1313.036
10.1435,1356.383
10.1854,1403.312
10.2273,1450.658
10.2692,1499.977
10.3112,1558.938
10.3531,1628.934
10.3950,1695.694
10.4369,1762.084
10.4788,1845.757
10.5207,1943.489
10.5627,2035.606
10.6046,2123.325
10.6465,2205.666
10.6884,2282.160
10.7303,2356.620
10.7722,2428.833
10.8141,2489.482
10.8561,2524.941
10.8980,2545.225
10.9399,2554.028
10.9818,2556.483
11.0237,2562.960
11.0656,2574.401
11.1076,2586.960
11.1495,2577.034
11.1914,2513.083
11.2333,2413.727
11.2752,2310.747
11.3171,2203.380
11.3590,2092.601
11.4010,1983.603
11.4429,1878.840
11.4848,1780.757
11.5267,1704.566
11.5686,1647.013
11.6105,1593.896
11.6525,1544.779
11.6944,1511.310
11.7363,1489.193
11.7782,1469.919
11.8201,1452.470
11.8620,1450.347
11.9039,1463.068
11.9459,1481.444
11.9878,1500.734
12.0297,1507.621
12.0716,1504.859
12.1135,1501.241
12.1554,1490.429
