Distance_(microns),Gray_Value
0.0000,244.000
0.1719,236.170
0.3438,236.042
0.5156,234.561
0.6875,251.725
0.8594,253.697
1.0313,268.736
1.2031,270.221
1.3750,265.060
1.5469,252.663
1.7188,239.510
1.8906,236.559
2.0625,223.066
2.2344,206.766
2.4063,199.219
2.5781,204.613
2.7500,211.888
2.9219,220.527
3.0938,218.255
3.2656,226.729
3.4375,238.800
3.6094,239.469
3.7813,256.826
3.9531,275.575
4.1250,289.327
4.2969,280.098
4.4688,248.879
4.6406,241.512
4.8125,234.283
4.9844,227.471
5.1563,220.740
5.3281,217.952
5.5000,223.134
5.6719,238.126
5.8438,270.278
6.0156,310.264
6.1875,333.522
6.3594,307.589
6.5313,266.698
6.7031,236.909
6.8750,222.556
7.0469,215.672
7.2188,208.225
7.3906,209.877
7.5625,205.900
7.7344,203.449
7.9063,209.456
8.0781,211.253
8.2500,213.086
8.4219,214.842
8.5938,208.889
8.7656,214.450
8.9375,218.217
9.1094,221.398
9.2813,215.043
9.4531,218.235
9.6250,227.221
9.7969,238.443
9.9688,242.793
10.1406,246.328
10.3125,253.415
10.4844,261.311
10.6563,297.872
10.8281,327.372
11.0000,357.550
11.1719,330.490
11.3438,276.434
11.5156,268.567
11.6875,255.740
11.8594,252.296
12.0313,255.510
12.2031,277.101
12.3750,306.989
12.5469,348.378
12.7188,406.378
12.8906,487.314
13.0625,573.055
13.2344,659.836
13.4063,742.309
13.5781,788.932
13.7500,817.452
13.9219,815.141
14.0938,761.817
14.2656,678.948
14.4375,632.375
14.6094,600.079
14.7813,590.560
14.9531,591.727
15.1250,600.063
15.2969,603.162
15.4688,563.391
15.6406,508.000
15.8125,443.199
15.9844,390.906
16.1563,357.213
16.3281,332.600
16.5000,314.244
16.6719,298.873
16.8438,293.329
17.0156,284.574
17.1875,283.724
17.3594,294.578
17.5313,305.807
17.7031,329.856
17.8750,348.024
18.0469,354.826
18.2188,321.142
18.3906,319.480
18.5625,332.331
18.7344,358.822
18.9063,387.059
19.0781,397.972
19.2500,426.412
19.4219,445.507
19.5938,447.722
19.7656,439.947
19.9375,424.810
20.1094,429.699
20.2813,458.937
20.4531,475.816
20.6250,482.474
20.7969,466.302
20.9688,424.832
21.1406,384.935
21.3125,332.170
21.4844,292.166
21.6563,269.943
21.8281,254.365
22.0000,248.644
22.1719,239.594
22.3438,235.155
22.5156,236.129
22.6875,233.183
22.8594,235.915
23.0313,243.483
23.2031,245.965
23.3750,248.365
23.5469,250.729
23.7188,241.393
23.8906,228.206
24.0625,226.136
24.2344,215.742
24.4063,213.098
24.5781,209.831
24.7500,201.940
24.9219,197.017
25.0938,199.735
25.2656,204.945
25.4375,213.702
25.6094,218.446
25.7813,227.691
25.9531,221.538
26.1250,219.219
26.2969,207.619
26.4688,203.483
26.6406,207.091
26.8125,204.988
26.9844,201.738
27.1563,212.140
27.3281,228.341
27.5000,250.478
27.6719,262.746
27.8438,251.353
28.0156,230.137
28.1875,218.685
28.3594,219.822
28.5313,223.602
28.7031,231.925
28.8750,227.873
29.0469,222.344
29.2188,213.308
29.3906,212.445
29.5625,211.589
29.7344,199.082
29.9063,212.802
30.0781,218.622
30.2500,227.912
30.4219,233.094
30.5938,239.626
30.7656,253.635
30.9375,261.845
31.1094,273.375
31.2813,301.366
31.4531,335.776
31.6250,366.708
31.7969,366.272
31.9688,363.729
32.1406,373.472
32.3125,378.249
32.4844,375.105
32.6563,382.060
32.8281,374.010
33.0000,405.991
33.1719,440.154
33.3438,463.390
33.5156,470.206
33.6875,458.352
33.8594,425.034
34.0313,399.536
34.2031,395.217
34.3750,398.685
34.5469,409.433
34.7188,424.148
34.8906,438.264
35.0625,424.484
35.2344,399.286
35.4063,371.974
35.5781,373.889
35.7500,362.060
35.9219,331.439
36.0938,302.786
36.2656,277.504
36.4375,262.410
36.6094,252.161
36.7813,251.082
36.9531,254.035
37.1250,253.948
37.2969,233.861
37.4688,217.954
37.6406,210.270
37.8125,200.421
37.9844,198.976
38.1563,198.066
38.3281,201.649
38.5000,204.574
38.6719,204.264
38.8438,206.730
39.0156,207.570
39.1875,213.770
39.3594,211.841
39.5313,202.422
39.7031,207.168
