 ,Area,Circ.,AR,Round,Solidity
1,74.922,0.677,1.100,0.909,0.923
2,87.323,0.779,1.205,0.830,0.966
3,73.225,0.517,1.854,0.539,0.853
4,138.969,0.843,1.276,0.783,0.968
5,42.467,0.592,1.152,0.868,0.909
6,70.894,0.888,1.265,0.791,0.970
7,15.594,0.703,1.385,0.722,0.886
8,21.521,0.686,1.597,0.626,0.889
9,92.905,0.879,1.215,0.823,0.970
10,21.291,0.642,1.779,0.562,0.844
11,22.557,0.625,1.708,0.586,0.840
12,16.601,0.612,1.324,0.755,0.844
13,171.078,0.714,1.036,0.965,0.957
14,124.065,0.864,1.227,0.815,0.969
15,25.780,0.737,1.058,0.945,0.896
16,94.919,0.821,1.318,0.759,0.961
17,95.955,0.841,1.554,0.643,0.973
18,67.470,0.868,1.155,0.866,0.963
19,123.115,0.847,1.446,0.691,0.969
20,93.653,0.610,1.383,0.723,0.934
21,95.667,0.893,1.100,0.909,0.973
22,21.838,0.895,1.361,0.735,0.957
23,186.442,0.689,1.157,0.864,0.940
24,92.128,0.840,1.399,0.715,0.964
25,101.939,0.874,1.140,0.877,0.964
26,79.008,0.545,1.474,0.678,0.931
27,22.960,0.682,1.128,0.886,0.890
28,75.440,0.823,1.443,0.693,0.964
29,50.121,0.832,1.531,0.653,0.956
30,115.433,0.889,1.104,0.906,0.971
31,16.630,0.540,1.403,0.713,0.853
32,34.152,0.535,2.159,0.463,0.806
33,76.044,0.620,1.228,0.814,0.899
34,80.878,0.667,1.161,0.861,0.910
35,56.336,0.896,1.252,0.799,0.971
36,114.599,0.806,1.692,0.591,0.971
37,17.033,0.513,1.256,0.796,0.784
38,29.664,0.553,1.426,0.701,0.830
39,75.901,0.872,1.216,0.822,0.967
40,82.691,0.815,1.252,0.798,0.952
41,92.473,0.873,1.353,0.739,0.974
42,101.249,0.542,1.511,0.662,0.896
43,140.781,0.625,1.099,0.910,0.920
44,45.604,0.888,1.125,0.889,0.960
45,29.491,0.516,1.861,0.537,0.801
46,48.826,0.501,1.443,0.693,0.884
47,50.667,0.796,1.596,0.626,0.944
48,25.003,0.520,1.355,0.738,0.799
49,67.269,0.842,1.425,0.702,0.963
50,33.088,0.526,1.533,0.652,0.843
51,101.421,0.854,1.376,0.727,0.974
52,78.001,0.893,1.152,0.868,0.973
53,124.986,0.802,1.839,0.544,0.976
54,18.702,0.539,1.504,0.665,0.762
55,67.873,0.559,1.396,0.716,0.867
56,53.976,0.776,1.127,0.887,0.947
57,138.911,0.839,1.513,0.661,0.977
58,77.051,0.759,1.473,0.679,0.934
59,23.823,0.730,1.163,0.859,0.886
60,91.610,0.838,1.500,0.667,0.971
61,20.255,0.662,1.376,0.727,0.875
62,163.741,0.912,1.030,0.971,0.982
63,103.320,0.895,1.187,0.843,0.976
64,128.582,0.902,1.122,0.891,0.977
65,93.279,0.857,1.344,0.744,0.972
66,16.717,0.602,1.898,0.527,0.838
67,52.250,0.710,1.226,0.816,0.923
68,144.148,0.899,1.058,0.945,0.978
69,119.231,0.855,1.491,0.671,0.977
70,18.213,0.807,1.092,0.916,0.900
71,75.901,0.819,1.423,0.703,0.958
72,73.023,0.824,1.531,0.653,0.967
73,91.121,0.830,1.531,0.653,0.967
74,76.447,0.618,1.302,0.768,0.905
75,83.007,0.783,1.131,0.885,0.951
76,78.346,0.857,1.248,0.801,0.964
77,91.236,0.693,1.076,0.930,0.937
78,72.937,0.719,1.527,0.655,0.899
79,63.615,0.688,1.598,0.626,0.942
80,85.999,0.859,1.463,0.684,0.972
81,129.359,0.669,1.033,0.968,0.910
82,54.926,0.889,1.166,0.858,0.963
83,42.410,0.754,1.523,0.657,0.938
84,89.136,0.867,1.392,0.719,0.968
85,51.416,0.551,1.100,0.909,0.814
86,122.051,0.885,1.207,0.829,0.971
87,49.143,0.743,1.492,0.670,0.935
88,96.559,0.837,1.092,0.916,0.961
89,161.411,0.650,1.273,0.785,0.904
90,28.081,0.807,1.199,0.834,0.934
91,121.274,0.867,1.190,0.840,0.968
92,104.903,0.858,1.278,0.783,0.973
93,138.508,0.866,1.306,0.766,0.973
94,77.598,0.831,1.154,0.867,0.953
95,26.211,0.555,1.716,0.583,0.853
96,45.460,0.663,1.613,0.620,0.879
97,28.772,0.717,1.400,0.714,0.919
98,87.237,0.847,1.431,0.699,0.968
99,66.204,0.853,1.294,0.773,0.961
100,105.018,0.862,1.202,0.832,0.965
101,182.472,0.705,1.728,0.579,0.955
102,127.000,0.884,1.186,0.843,0.974
103,116.009,0.912,1.062,0.942,0.979
104,57.860,0.902,1.143,0.875,0.966
105,50.409,0.506,1.420,0.704,0.827
106,104.673,0.845,1.454,0.688,0.965
107,44.309,0.879,1.207,0.828,0.955
108,70.290,0.894,1.171,0.854,0.971
109,144.925,0.864,1.433,0.698,0.979
110,80.303,0.884,1.126,0.888,0.971
111,65.255,0.886,1.025,0.975,0.961
112,97.882,0.750,1.445,0.692,0.944
113,119.807,0.905,1.136,0.880,0.978
114,133.962,0.823,1.496,0.668,0.966
115,67.211,0.893,1.309,0.764,0.975
116,126.482,0.881,1.206,0.829,0.975
117,21.234,0.787,1.732,0.577,0.927
118,17.752,0.549,1.734,0.577,0.791
119,30.987,0.677,1.711,0.585,0.892
120,77.397,0.871,1.365,0.733,0.971
121,53.084,0.820,1.357,0.737,0.940
122,15.537,0.828,1.218,0.821,0.957
123,130.884,0.880,1.122,0.891,0.972
124,83.957,0.694,1.319,0.758,0.929
125,147.341,0.882,1.313,0.762,0.979
126,33.634,0.619,1.154,0.866,0.867
127,63.730,0.687,1.733,0.577,0.939
128,117.764,0.862,1.440,0.694,0.971
129,117.447,0.877,1.099,0.910,0.967
130,72.649,0.875,1.099,0.910,0.965
131,101.824,0.835,1.147,0.872,0.964
132,123.432,0.877,1.175,0.851,0.974
133,86.719,0.724,1.029,0.972,0.951
134,71.153,0.674,1.229,0.814,0.878
135,50.437,0.843,1.451,0.689,0.966
136,81.741,0.899,1.176,0.851,0.975
137,77.253,0.880,1.316,0.760,0.972
138,119.979,0.891,1.031,0.970,0.977
139,115.146,0.825,1.408,0.710,0.969
140,15.364,0.795,1.432,0.699,0.919
141,70.031,0.902,1.171,0.854,0.973
142,72.103,0.887,1.318,0.759,0.972
143,112.527,0.892,1.193,0.838,0.975
144,97.163,0.892,1.222,0.818,0.976
145,68.506,0.885,1.173,0.853,0.969
146,56.566,0.576,1.962,0.510,0.866
147,81.712,0.813,1.596,0.627,0.966
148,84.302,0.884,1.115,0.897,0.968
149,116.239,0.848,1.193,0.838,0.965
150,20.486,0.767,1.156,0.865,0.904
151,41.403,0.889,1.226,0.816,0.959
152,25.521,0.513,1.170,0.854,0.856
153,15.566,0.521,1.415,0.707,0.815
154,77.886,0.728,2.010,0.498,0.943
155,82.115,0.883,1.282,0.780,0.972
156,78.087,0.855,1.354,0.739,0.962
157,67.010,0.852,1.390,0.720,0.964
158,62.119,0.882,1.208,0.828,0.965
159,55.674,0.886,1.104,0.906,0.959
160,126.626,0.849,1.464,0.683,0.975
161,182.069,0.866,1.198,0.834,0.968
162,74.030,0.845,1.478,0.677,0.967
163,29.606,0.716,1.586,0.630,0.922
164,76.361,0.731,1.515,0.660,0.941
165,63.529,0.829,1.191,0.840,0.960
166,79.267,0.775,1.687,0.593,0.952
167,64.679,0.836,1.328,0.753,0.960
168,106.313,0.771,1.584,0.631,0.960
169,19.651,0.633,1.558,0.642,0.842
170,25.751,0.706,1.528,0.655,0.892
171,58.666,0.896,1.198,0.835,0.970
172,76.591,0.864,1.293,0.773,0.964
173,65.686,0.865,1.032,0.969,0.954
174,56.623,0.856,1.333,0.750,0.960
175,23.161,0.793,1.319,0.758,0.915
176,198.642,0.763,1.121,0.892,0.954
177,96.588,0.855,1.236,0.809,0.965
178,109.823,0.704,2.027,0.493,0.945
179,62.032,0.565,1.629,0.614,0.890
180,23.708,0.564,1.443,0.693,0.829
181,42.525,0.659,1.429,0.700,0.886
182,26.125,0.722,1.210,0.826,0.899
183,59.443,0.892,1.241,0.806,0.969
184,107.435,0.847,1.249,0.801,0.971
185,127.805,0.894,1.172,0.853,0.977
186,19.277,0.677,1.700,0.588,0.889
187,129.215,0.788,1.366,0.732,0.954
188,57.055,0.727,1.672,0.598,0.933
