 ,Area,Perim.,Circ.,AR,Round,Solidity
1,1374.697,179.188,0.538,1.262,0.792,0.902
2,1163.395,131.813,0.841,1.502,0.666,0.989
3,1108.642,137.713,0.735,1.994,0.501,0.984
4,1247.122,135.743,0.851,1.384,0.722,0.986
5,1480.520,145.119,0.883,1.137,0.880,0.988
6,976.176,130.890,0.716,1.571,0.636,0.960
7,1649.498,157.702,0.833,1.317,0.759,0.983
8,1441.247,144.704,0.865,1.212,0.825,0.987
9,598.457,101.944,0.724,1.272,0.786,0.950
10,718.293,117.471,0.654,1.351,0.740,0.934
11,1383.213,145.705,0.819,1.336,0.748,0.975
12,1595.062,150.180,0.889,1.146,0.872,0.991
13,1701.144,155.824,0.880,1.125,0.889,0.989
14,1390.896,149.827,0.779,1.507,0.664,0.972
15,2105.160,175.367,0.860,1.296,0.771,0.989
16,1859.821,164.765,0.861,1.228,0.814,0.986
17,1508.084,151.283,0.828,1.392,0.718,0.983
18,2103.981,173.270,0.881,1.212,0.825,0.992
19,973.587,138.892,0.634,1.051,0.952,0.939
20,1551.645,147.847,0.892,1.064,0.940,0.990
21,1335.481,139.715,0.860,1.217,0.822,0.985
22,1093.480,128.574,0.831,1.195,0.837,0.978
23,785.763,110.528,0.808,1.140,0.877,0.969
24,1153.153,138.244,0.758,1.496,0.668,0.968
25,1126.193,133.063,0.799,1.601,0.625,0.982
26,1174.386,146.595,0.687,1.112,0.899,0.961
27,590.833,94.570,0.830,1.142,0.876,0.970
