 ,Area,Perim.,Circ.,AR,Round,Solidity
1,965.444,118.239,0.868,1.279,0.782,0.986
2,1149.873,133.694,0.808,1.079,0.926,0.974
3,1329.352,145.742,0.786,1.598,0.626,0.977
4,1473.356,147.816,0.847,1.193,0.838,0.984
5,731.269,115.154,0.693,1.416,0.706,0.947
6,929.364,119.935,0.812,1.245,0.803,0.970
7,1161.525,127.752,0.894,1.126,0.888,0.990
8,735.872,108.071,0.792,1.470,0.680,0.971
9,1580.244,150.139,0.881,1.195,0.837,0.990
10,1160.950,130.582,0.856,1.112,0.899,0.981
11,1310.967,137.590,0.870,1.188,0.841,0.986
12,1407.152,141.370,0.885,1.128,0.886,0.991
13,1448.209,142.867,0.892,1.182,0.846,0.991
14,882.869,117.681,0.801,1.242,0.805,0.972
15,1321.987,142.710,0.816,1.524,0.656,0.981
16,1662.359,161.506,0.801,1.491,0.671,0.988
17,996.719,124.949,0.802,1.250,0.800,0.975
18,1638.881,154.564,0.862,1.372,0.729,0.990
19,1147.226,131.963,0.828,1.456,0.687,0.982
20,1435.837,150.862,0.793,1.148,0.871,0.975
21,1732.851,164.717,0.803,1.129,0.886,0.976
22,810.306,111.498,0.819,1.188,0.842,0.975
23,1219.098,132.385,0.874,1.191,0.840,0.988
24,1093.192,125.055,0.878,1.145,0.874,0.986
25,1153.843,128.067,0.884,1.198,0.835,0.990
26,985.498,119.099,0.873,1.215,0.823,0.987
27,939.089,118.709,0.837,1.508,0.663,0.986
28,1562.722,148.138,0.895,1.125,0.889,0.991
