 ,Area
1,51.732
2,68.362
3,71.297
4,33.519
5,40.252
6,41.863
7,31.333
8,40.367
9,68.995
10,36.109
11,46.150
12,122.885
13,92.185
14,66.003
15,60.910
16,33.663
17,89.941
18,33.289
19,89.337
20,36.857
21,109.046
22,44.999
23,80.216
24,44.999
25,51.042
26,110.312
27,34.066
28,89.510
29,78.548
30,123.518
31,40.367
32,61.227
33,38.900
34,58.033
35,95.926
36,69.369
37,120.353
38,134.135
39,46.783
40,60.623
41,89.769
42,48.452
43,153.844
44,98.199
45,122.425
46,42.698
47,138.221
48,116.268
49,72.362
50,32.484
51,67.355
52,88.618
53,67.931
54,75.728
55,83.554
56,52.192
57,78.001
58,54.465
59,124.209
60,34.095
61,83.468
62,44.481
63,93.567
64,149.183
65,34.785
66,100.414
67,59.443
68,101.882
69,68.161
70,32.656
71,34.440
72,48.193
73,56.393
74,102.400
75,176.228
76,112.671
77,103.522
78,56.997
79,52.969
80,46.726
81,97.595
82,31.707
83,66.665
84,141.501
85,77.138
86,59.990
87,85.971
88,185.234
89,42.209
90,112.153
91,58.465
92,128.438
93,52.135
94,117.390
95,70.060
96,73.541
97,56.911
98,104.442
99,77.799
100,96.990
101,162.101
102,31.189
103,109.967
104,72.160
105,121.648
106,89.510
107,34.843
108,69.484
109,79.065
110,128.266
111,71.815
112,31.620
113,69.398
114,67.010
115,108.183
116,94.315
117,62.032
118,73.225
119,75.325
120,40.281
121,59.587
122,49.402
123,53.257
124,118.138
125,182.184
126,189.866
127,32.225
128,70.204
129,51.502
130,70.808
131,55.904
132,103.781
133,92.732
134,53.286
135,69.715
136,58.292
137,49.833
138,186.932
139,85.798
140,53.976
141,96.271
142,34.267
143,48.279
144,125.762
145,97.221
146,116.642
147,47.675
148,50.696
149,80.907
150,38.468
151,59.616
152,62.637
153,69.139
154,142.939
155,76.447
156,68.017
157,34.181
158,32.771
159,41.604
160,47.416
161,127.978
162,37.260
163,93.480
164,61.399
165,32.743
166,65.571
167,33.548
168,102.112
169,107.089
170,86.604
171,53.228
172,99.839
173,74.548
174,79.353
175,74.836
176,58.695
177,62.263
178,46.409
179,46.352
180,54.264
181,77.195
182,93.797
183,61.630
184,103.953
185,50.236
186,55.444
187,64.133
188,110.110
189,157.009
190,40.108
191,68.046
192,51.070
193,127.374
194,154.534
195,56.307
196,82.230
197,60.220
198,71.441
199,44.280
200,83.439
201,89.423
202,53.631
203,52.221
204,93.739
205,84.503
206,32.599
207,52.250
208,38.353
209,59.299
210,78.864
211,43.733
212,119.519
213,125.619
214,68.362
215,47.445
216,98.659
217,47.330
218,169.266
219,106.054
220,165.410
221,85.194
222,37.547
223,129.762
224,163.224
225,172.459
226,121.648
227,37.058
228,48.251
229,73.397
230,63.644
231,131.085
232,43.359
233,66.032
234,172.200
235,70.261
236,67.039
237,184.400
238,81.338
239,73.138
240,34.785
241,58.896
242,153.786
243,42.036
244,70.722
245,129.071
246,61.543
247,94.056
248,61.428
249,131.632
250,39.044
251,79.411
252,74.519
253,73.886
254,31.707
255,143.457
256,32.455
257,65.226
258,64.162
259,34.728
260,107.751
261,84.446
262,60.565
263,58.609
264,97.364
265,121.015
266,42.180
267,108.758
268,63.126
269,38.037
270,37.519
271,67.585
272,65.888
273,36.943
274,64.795
275,32.023
276,54.638
277,35.246
278,59.385
279,46.927
280,142.882
281,97.048
282,159.656
283,31.275
284,54.839
285,31.333
286,31.103
287,163.598
288,123.547
289,90.258
290,63.615
291,83.295
292,62.004
293,57.947
294,55.990
295,78.116
296,92.790
297,52.480
